x1,x2,lag,te_value,method,dataset
Y1,Y2,10,0.06241927662199544,TransferEntropy,dataset1_baseline
Y1,Y2,11,0.0733486399656113,TransferEntropy,dataset1_baseline
Y1,Y3,1,0.4316760849120345,TransferEntropy,dataset1_baseline
Y1,Y3,2,0.3541825768483304,TransferEntropy,dataset1_baseline
Y1,Y3,3,0.3021707056225113,TransferEntropy,dataset1_baseline
Y1,Y3,4,0.24051163715328858,TransferEntropy,dataset1_baseline
Y1,Y3,5,0.17120509227298364,TransferEntropy,dataset1_baseline
Y1,Y3,6,0.12829982483439342,TransferEntropy,dataset1_baseline
Y1,Y3,7,0.09056491873323068,TransferEntropy,dataset1_baseline
Y1,Y3,8,0.07713508341986698,TransferEntropy,dataset1_baseline
Y1,Y3,12,0.06926581903050444,TransferEntropy,dataset1_baseline
Y1,Y4,1,0.0778619777777576,TransferEntropy,dataset1_baseline
Y1,Y4,2,0.07827430847451618,TransferEntropy,dataset1_baseline
Y1,Y4,3,0.08490715246748357,TransferEntropy,dataset1_baseline
Y1,Y4,4,0.07766950847093823,TransferEntropy,dataset1_baseline
Y1,Y5,1,0.16196298389407246,TransferEntropy,dataset1_baseline
Y1,Y5,2,0.22740280548586503,TransferEntropy,dataset1_baseline
Y1,Y5,3,0.21013502103912157,TransferEntropy,dataset1_baseline
Y1,Y5,4,0.16587206411815789,TransferEntropy,dataset1_baseline
Y1,Y5,5,0.13338803871070695,TransferEntropy,dataset1_baseline
Y1,Y5,6,0.11274475508545378,TransferEntropy,dataset1_baseline
Y1,Y5,7,0.09924812429452455,TransferEntropy,dataset1_baseline
Y1,Y5,8,0.08978184146954934,TransferEntropy,dataset1_baseline
Y2,Y1,6,0.0718298235361393,TransferEntropy,dataset1_baseline
Y2,Y1,7,0.0670728218634136,TransferEntropy,dataset1_baseline
Y2,Y1,8,0.07291735399680875,TransferEntropy,dataset1_baseline
Y2,Y1,9,0.08577955850518683,TransferEntropy,dataset1_baseline
Y2,Y1,10,0.0754883022032639,TransferEntropy,dataset1_baseline
Y2,Y3,1,0.5165061551330057,TransferEntropy,dataset1_baseline
Y2,Y3,2,0.364036703031288,TransferEntropy,dataset1_baseline
Y2,Y3,3,0.2910500045775754,TransferEntropy,dataset1_baseline
Y2,Y3,4,0.1747239366488581,TransferEntropy,dataset1_baseline
Y2,Y3,5,0.1585053448312282,TransferEntropy,dataset1_baseline
Y2,Y3,6,0.14567302162758522,TransferEntropy,dataset1_baseline
Y2,Y3,7,0.1337117477963706,TransferEntropy,dataset1_baseline
Y2,Y3,8,0.11351514494174025,TransferEntropy,dataset1_baseline
Y2,Y3,9,0.12490895186314357,TransferEntropy,dataset1_baseline
Y2,Y3,10,0.11215873004635611,TransferEntropy,dataset1_baseline
Y2,Y3,11,0.0752061721983018,TransferEntropy,dataset1_baseline
Y2,Y3,12,0.07898938900930683,TransferEntropy,dataset1_baseline
Y2,Y5,1,0.4384058840362178,TransferEntropy,dataset1_baseline
Y2,Y5,2,0.48224180479173623,TransferEntropy,dataset1_baseline
Y2,Y5,3,0.3606104036354735,TransferEntropy,dataset1_baseline
Y2,Y5,4,0.27662255069957087,TransferEntropy,dataset1_baseline
Y2,Y5,5,0.20225554065719342,TransferEntropy,dataset1_baseline
Y2,Y5,6,0.21422507743209163,TransferEntropy,dataset1_baseline
Y2,Y5,7,0.18424823912086224,TransferEntropy,dataset1_baseline
Y2,Y5,8,0.1710241743428849,TransferEntropy,dataset1_baseline
Y2,Y5,9,0.1450398179480914,TransferEntropy,dataset1_baseline
Y2,Y5,10,0.13959043930859108,TransferEntropy,dataset1_baseline
Y2,Y5,11,0.10135012529298197,TransferEntropy,dataset1_baseline
Y2,Y5,12,0.0736817721467925,TransferEntropy,dataset1_baseline
Y3,Y1,5,0.071059043911391,TransferEntropy,dataset1_baseline
Y3,Y1,6,0.09315520664921298,TransferEntropy,dataset1_baseline
Y3,Y1,7,0.06252748748289558,TransferEntropy,dataset1_baseline
Y3,Y1,8,0.07085953063649665,TransferEntropy,dataset1_baseline
Y3,Y2,4,0.06582135512152548,TransferEntropy,dataset1_baseline
Y3,Y5,1,0.50732668544532,TransferEntropy,dataset1_baseline
Y3,Y5,2,0.2889144545600138,TransferEntropy,dataset1_baseline
Y3,Y5,3,0.2737825222755246,TransferEntropy,dataset1_baseline
Y3,Y5,4,0.18098372451310485,TransferEntropy,dataset1_baseline
Y3,Y5,5,0.14417525084469848,TransferEntropy,dataset1_baseline
Y3,Y5,6,0.1490784947432029,TransferEntropy,dataset1_baseline
Y3,Y5,7,0.11107110849664512,TransferEntropy,dataset1_baseline
Y3,Y5,8,0.09954689242451814,TransferEntropy,dataset1_baseline
Y4,Y2,9,0.06698386408207511,TransferEntropy,dataset1_baseline
Y4,Y2,11,0.06278405840283581,TransferEntropy,dataset1_baseline
Y4,Y2,12,0.07338582701442499,TransferEntropy,dataset1_baseline
Y4,Y5,1,0.3185660536583622,TransferEntropy,dataset1_baseline
Y4,Y5,2,0.15986162806428145,TransferEntropy,dataset1_baseline
Y4,Y5,3,0.12084927557544803,TransferEntropy,dataset1_baseline
Y5,Y2,3,0.0745127260847127,TransferEntropy,dataset1_baseline
Y5,Y2,5,0.06570970171096202,TransferEntropy,dataset1_baseline
Y5,Y3,1,0.12238258964079249,TransferEntropy,dataset1_baseline
Y5,Y3,2,0.08542312404334657,TransferEntropy,dataset1_baseline
Y5,Y3,3,0.09131843196329711,TransferEntropy,dataset1_baseline
Y5,Y3,4,0.08108482889492614,TransferEntropy,dataset1_baseline
Y5,Y3,5,0.06887834339103936,TransferEntropy,dataset1_baseline
Y5,Y3,6,0.0944753908113132,TransferEntropy,dataset1_baseline
